이름,위도,경도,구,최근역,백명점장르,최신연도,타베로그점수,리뷰수,타베로그,구글지도
うなぎ時任,35.656238,139.733324,미나토구,麻布十番駅,장어,2026,3.71,597,https://tabelog.com/tokyo/A1307/A130702/13224663/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%E6%99%82%E4%BB%BB%20%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA%E9%A7%85
うなぎ 目白ぞろ芽,35.721581,139.706392,도시마구,目白駅,장어,2026,3.68,738,https://tabelog.com/tokyo/A1305/A130502/13224277/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%20%E7%9B%AE%E7%99%BD%E3%81%9E%E3%82%8D%E8%8A%BD%20%E7%9B%AE%E7%99%BD%E9%A7%85
わたべ,35.711328,139.752083,분쿄구,春日駅,장어,2026,4.06,827,https://tabelog.com/tokyo/A1310/A131003/13042184/,https://www.google.com/maps/search/?api=1&query=%E3%82%8F%E3%81%9F%E3%81%B9%20%E6%98%A5%E6%97%A5%E9%A7%85
尾花,35.731637,139.796901,아라카와구,南千住駅,장어,2026,3.76,1577,https://tabelog.com/tokyo/A1324/A132401/13003509/,https://www.google.com/maps/search/?api=1&query=%E5%B0%BE%E8%8A%B1%20%E5%8D%97%E5%8D%83%E4%BD%8F%E9%A7%85
鰻専門店 愛川,35.711352,139.707569,신주쿠구,西早稲田駅,장어,2026,3.71,1394,https://tabelog.com/tokyo/A1305/A130503/13029734/,https://www.google.com/maps/search/?api=1&query=%E9%B0%BB%E5%B0%82%E9%96%80%E5%BA%97%20%E6%84%9B%E5%B7%9D%20%E8%A5%BF%E6%97%A9%E7%A8%B2%E7%94%B0%E9%A7%85
銀座 四代目 高橋屋 銀座店,35.670184,139.767935,주오구,東銀座駅,장어,2026,3.75,508,https://tabelog.com/tokyo/A1301/A130101/13262334/,https://www.google.com/maps/search/?api=1&query=%E9%8A%80%E5%BA%A7%20%E5%9B%9B%E4%BB%A3%E7%9B%AE%20%E9%AB%98%E6%A9%8B%E5%B1%8B%20%E9%8A%80%E5%BA%A7%E5%BA%97%20%E6%9D%B1%E9%8A%80%E5%BA%A7%E9%A7%85
うなぎ 平八,35.597104,139.667792,오타구,田園調布駅,장어,2026,3.69,412,https://tabelog.com/tokyo/A1317/A131704/13017676/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%20%E5%B9%B3%E5%85%AB%20%E7%94%B0%E5%9C%92%E8%AA%BF%E5%B8%83%E9%A7%85
やしま,35.706631,139.784811,다이토구,新御徒町駅,장어,2026,3.69,302,https://tabelog.com/tokyo/A1311/A131101/13024325/,https://www.google.com/maps/search/?api=1&query=%E3%82%84%E3%81%97%E3%81%BE%20%E6%96%B0%E5%BE%A1%E5%BE%92%E7%94%BA%E9%A7%85
明神下 神田川 本店,35.700381,139.768992,지요다구,末広町駅,장어,2026,3.71,523,https://tabelog.com/tokyo/A1310/A131002/13000346/,https://www.google.com/maps/search/?api=1&query=%E6%98%8E%E7%A5%9E%E4%B8%8B%20%E7%A5%9E%E7%94%B0%E5%B7%9D%20%E6%9C%AC%E5%BA%97%20%E6%9C%AB%E5%BA%83%E7%94%BA%E9%A7%85
神泉いちのや,35.657074,139.691433,시부야구,神泉駅,장어,2026,3.66,773,https://tabelog.com/tokyo/A1303/A130301/13004659/,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E6%B3%89%E3%81%84%E3%81%A1%E3%81%AE%E3%82%84%20%E7%A5%9E%E6%B3%89%E9%A7%85
